author_name,gender,country,continent,city_birth,city_residence,language,year_birth,year_death,work1,work2,awards,time period,bio,list_url,list_title,list_bookname,list_copy
Ivan Turgenev,Male,Russia,Europe,"Oryol, Russia","Bougival, France",Russian,1818,1883,Fathers and Sons,A Month in the Country,,19th Century,"Ivan Sergeyevich Turgenev was a Russian novelist, short story writer, poet, playwright, translator and popularizer of Russian literature in the West. His first major publication, a short story collection titled A Sportsman's Sketches, was a milestone of Russian realism.",,,,
Fyodor Dostoevsky,Male,Russia,Europe,"Moscow, Russia","Saint Petersburg, Russia",Russian,1821,1881,Crime and Punishment,The Brothers Karamazov,,19th Century,"Fyodor Mikhailovich Dostoevsky, was a Russian novelist, short story writer, essayist and journalist. Numerous literary critics regard him as one of the greatest novelists in all of world literature, as many of his works are considered highly influential masterpieces.",,,,
Leo Tolstoy,Male,Russia,Europe,"Yasnaya Polyana, Russia","Yasnaya Polyana, Russia",Russian,1828,1910,War and Peace,Anna Karenina,,19th Century; 20th Century,"Count Lev Nikolayevich Tolstoy, usually referred to in English as Leo Tolstoy, was a Russian writer. He is regarded as one of the greatest and most influential authors of all time.",,,,
Paul von Heyse,Male,Germany,Europe,"Berlin, Germany","Munich, Germany",German,1830,1914,The Children of the World,The Angry Woman,Nobel Prize,19th Century; 20th Century,"Paul Johann Ludwig von Heyse was a German writer and translator. A member of two important literary societies, he wrote novels, poetry, short stories, and dramas prolifically.",,,,
Machado de Assis,Male,Brazil,Latin America,"Rio de Janeiro, Brazil","Rio de Janeiro, Brazil",Portuguese,1839,1908,Dom Casmurro,The Posthumous Memoirs of Bras Cubas,,19th Century,"Joaquim Maria Machado de Assis, often known by his surnames as Machado de Assis or Machado, was a pioneer Brazilian novelist, poet, playwright and short story writer, widely regarded as the greatest writer of Brazilian literature.",,,,
Emile Zola,Male ,France,Europe,"Paris, France","Paris, France",French,1840,1902,Germinal,The Masterpiece,,19th Century,"Émile Édouard Charles Antoine Zola was a French novelist, journalist, playwright, the best-known practitioner of the literary school of naturalism, and an important contributor to the development of theatrical naturalism.",https://www.hammockmag.com/recommendations-lists/a-selection-of-parisian-classics,A Selection of Parisian Classics,The Ladies' Paradise,"In this French classic, Denise Baudu, a young woman from the Valognes countryside, arrives in Paris with her two younger brothers, orphaned and destitute, looking to get employment at her uncle’s small drapery shop. However, from the moment Denise arrives, she becomes entranced by The Ladies’ Paradise, a magnificent shopping establishment that entices its customers with its extravagant window displays, personalised service, constant sales and affordable luxury. One of the most compelling early critiques of capitalism to emerge from French literature."
Thomas Hardy,Male,United Kingdom,Europe,"Dorset, UK","Dorset, UK",English,1840,1928,Tess of D'Ubervilles,Jude the Obscure,,19th Century; 20th Century,"Thomas Hardy was an English novelist and poet. A Victorian realist in the tradition of George Eliot, he was influenced both in his novels and in his poetry by Romanticism, including the poetry of William Wordsworth.",,,,
Henry James,Male,United States,Europe,"New York, USA","London, UK",English,1843,1916,The Ambassadors,The Portrait of A Lady,,19th Century; 20th Century,"Henry James was an American-British author. He is regarded as a key transitional figure between literary realism and modernism, and considered by many to be among the greatest novelists in the English language.",,,,
Anatole France,Male ,France,Europe,"Paris, France","Tours, France",French,1844,1924,The Revolt of the Angels,Penguin Island,Nobel Prize,19th Century; 20th Century,"Anatole France was a French poet, journalist, and novelist with several best-sellers. Ironic and skeptical, he was considered in his day the ideal French man of letters.",,,,
Henryk Sienkiewicz,Male,Poland,Europe,"Lukow, Poland","Lausanne, Switzerland",Polish,1846,1916,Quo Vadis,Without Dogma,Nobel Prize,19th Century; 20th Century,"Henryk Adam Aleksander Pius Sienkiewicz, also known by the pseudonym Litwos, was a Polish epic writer. He is remembered for his historical novels, such as the Trilogy series and especially for his internationally known best-seller Quo Vadis.",,,,
George Bernard Shaw,Male,Ireland,Europe,"Dublin, Ireland","London, UK",English,1856,1950,Pygmalion,Candida,Nobel Prize,19th Century; 20th Century,"George Bernard Shaw, known at his insistence as Bernard Shaw, was an Irish playwright, critic, polemicist and political activist. His influence on Western theatre, culture and politics extended from the 1880s to his death and beyond.",,,,
Henrik Pontoppidan,Male,Denmark,Europe,"Fredericia, Denmark","Copenhagen, Denmark",Danish,1857,1943,Lucky Per,The Kingdom of the Dead,Nobel Prize,19th Century; 20th Century,"Henrik Pontoppidan was a Danish realist writer who shared with Karl Gjellerup the Nobel Prize for Literature in 1917 for ""his authentic descriptions of present-day life in Denmark.""",,,,
Joseph Conrad,Male,Poland,Europe,"Oblast, Ukraine","Kent, UK",English,1857,1924,Heart of Darkness,The Secret Agent,,20th Century,"Joseph Conrad was a Polish-British novelist and story writer. He is regarded as one of the greatest writers in the English language and although he did not speak English fluently until his twenties, he became a master prose stylist.",,,,
Henri Bergson,Male,France,Europe,"Paris, France","Paris, France",French,1859,1941,Matter and Memory,The Creative Evolution,Nobel Prize,19th Century; 20th Century,"Henri-Louis Bergson was a French philosopher and writer who was influential in the traditions of analytic philosophy and continental philosophy, especially during the first half of the 20th century until the Second World War.",,,,
Knut Hamsun,Male,Norway,Europe,"Lom, Norway","Grimstad, Norway",Norwegian,1859,1952,Hunger,Growth of the Soil,Nobel Prize,20th Century,"Knut Hamsun was a Norwegian writer who was awarded the Nobel Prize in Literature in 1920. Hamsun's work spans more than 70 years and shows variation with regard to consciousness, subject, perspective and environment.",,,,
Verner von Heidenstam,Male,Sweden,Europe,"Orebro, Sweden","Gotland, Sweden",Swedish,1859,1940,The Soothsayer,The Birth of God,Nobel Prize,19th Century; 20th Century,"Carl Gustaf Verner von Heidenstam was a Swedish poet, novelist and laureate of the 1916 Nobel Prize in Literature. He was a member of the Swedish Academy from 1912.",,,,
Anton Chekhov,Male,Russia,Europe,"Taganrog, Russia","Moscow, Russia",Russian,1860,1904,The Cherry Orchard,The Seagull,,19th Century; 20th Century,"Anton Pavlovich Chekhov was a Russian playwright and short-story writer. His short stories and plays are hugely influential to modern writing and still held in high esteem, with some considering him the greatest short story writer of all time. ",,,,
Rabindranath Tagore,Male,India,Asia,"Kolkata, India","Santiniketan, India",English; Bengali,1861,1941,Chokher Bali,The Home and the World,Nobel Prize,19th Century; 20th Century,"Rabindranath Tagore was a Bengali polymath who worked as a poet, writer, playwright, composer, philosopher, social reformer, and painter of the Bengal Renaissance. He reshaped Bengali literature and music as well as Indian art in the late 19th and early 20th centuries.",,,,
Italo Svevo,Male,Italy,Europe,"Trieste, Italy","Trieste, Italy",Italian,1861,1928,Confessions of Zeno,A Perfect Hoax,,19th Century; 20th Century,"Aron Hector Schmitz, better known by the pseudonym Italo Svevo, was an Italian and Austro-Hungarian writer, businessman, novelist, playwright, and short story writer.",,,,
Maurice Maeterlinck,Male,Belgium,Europe,"Ghent, Belgium","Nice, France",French,1862,1949,The Blue Bird,The Blind,Nobel Prize,19th Century; 20th Century,"Maurice Polydore Marie Bernard Maeterlinck, also known as Count/Comte Maeterlinck from 1932, was a Belgian playwright, poet, and essayist who was Flemish but wrote in French.",,,,
Gerhart Hauptmann,Male,Germany,Europe,"Silesia, Poland","Silesia, Poland",German,1862,1946,Hanele,The Reconcilliation,Nobel Prize,19th Century; 20th Century,"Gerhart Johann Robert Hauptmann was a German dramatist and novelist. He is counted among the most important promoters of literary naturalism, though he integrated other styles into his work as well.",,,,
Edith Wharton,Female,USA,North America,"New York, USA","Paris, France",English,1862,1937,The Age of Innocence,The House of Mirth,Pulitzer Prize,20th Century,"Edith Newbold Wharton was an American writer and designer. Wharton drew upon her insider's knowledge of the upper-class New York ""aristocracy"" to portray, realistically, the lives and morals of the Gilded Age.",https://www.hammockmag.com/recommendations-lists/6-novels-about-wealthy-families,Six Novels About Wealthy Families,The Age of Innocence,"The winner of the 1921 Pulitzer Prize, making Wharton the first ever female recipient, this novel centers on the impending marriage of an elite New York couple in the 19th century, and the complications that follow. One of the most prominent themes of the book is wealth and social status, the competition between old and new money, and the way these influence relationships and perceptions."
Rudyard Kipling,Male,United Kingdom,Europe,"Mumbai, India","London, UK",English,1865,1936,The Jungle Book,Kim,,20th Century,"Joseph Rudyard Kipling was an English journalist, novelist, poet, and short-story writer. He was born in British India, which inspired much of his work.",,,,
